LAT;;;;;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584;47.5584
LON;;;;;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327;7.57327
ASL;;;;;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000;279.000
CITY;;;;;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle;Bâle
DOMAIN;;;;;NEMS4;NEMS4;NEMS4;NEMS12;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4;NEMS4
LEVEL;;;;;2 m above gnd;2 m above gnd;MSL;sfc;sfc;sfc;high cld lay;mid cld lay;low cld lay;sfc;10 m above gnd;10 m above gnd;10 m above gnd
NAME;;;;;Temperature;Relative humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount;Total cloud cover;High cloud cover;Medium cloud cover;Low cloud cover;Shortwave Radiation - backwards;Wind speed;Wind direction;Wind Gust
UNIT;;;;;°C;%;hPa;mm;cm;%;%;%;%;W/m2;m/s;°;m/s
AGGREGATION;;;;;;;;;;;;;;;;;
UTC_OFFSET;;;;;1;1;1;1;1;1;1;1;1;1;1;1;1

Year;Month;Day;Hour;Minute;Temperature;Relative humidity;Mean Sea Level Pressure;Total Precipitation;Snowfall amount;Total cloud cover;High cloud cover;Medium cloud cover  ;Low cloud cover;Shortwave Radiation - backwards;Wind speed;Wind direction;Wind Gust
2013;11;06;02;00;8.98;84.00;1004.40;0.40;0.00;100.00;42.00;72.00;100.00;0.00;8.80;270.00;16.40
2013;11;06;03;00;9.03;82.00;1004.70;0.00;0.00;100.00;31.00;67.00;100.00;0.00;8.50;269.33;15.80
2013;11;06;04;00;8.69;84.00;1005.30;0.00;0.00;100.00;9.00;100.00;100.00;0.00;8.42;265.91;15.90
2013;11;06;05;00;10.05;80.00;1005.40;0.00;0.00;100.00;28.00;100.00;100.00;0.00;7.16;262.78;15.40
2013;11;06;06;00;10.62;77.00;1005.60;0.00;0.00;100.00;0.00;100.00;100.00;0.00;6.91;255.76;15.20
2013;11;06;07;00;10.94;77.00;1005.10;0.00;0.00;100.00;0.00;100.00;100.00;0.00;7.05;251.82;15.40
2013;11;06;08;00;10.88;79.00;1005.50;0.30;0.00;100.00;0.00;100.00;100.00;6.23;5.85;250.02;13.80
2013;11;06;09;00;12.46;78.00;1005.80;0.60;0.00;100.00;0.00;100.00;100.00;55.18;7.98;257.70;17.90
2013;11;06;10;00;13.65;80.00;1006.30;0.00;0.00;100.00;0.00;100.00;100.00;92.56;8.82;266.10;17.00
2013;11;06;11;00;14.60;76.00;1007.20;0.20;0.00;100.00;0.00;100.00;23.00;178.89;9.82;266.50;17.40
2013;11;06;12;00;15.56;73.00;1007.70;0.20;0.00;100.00;0.00;1.00;100.00;306.16;10.03;265.43;17.60
2013;11;06;13;00;15.49;74.00;1007.70;0.80;0.00;100.00;0.00;0.00;100.00;234.96;9.82;265.91;16.80
2013;11;06;14;00;15.94;73.00;1008.70;0.00;0.00;100.00;0.00;2.00;100.00;270.56;9.41;266.96;16.00
2013;11;06;15;00;15.87;72.00;1008.70;0.00;0.00;100.00;0.00;0.00;100.00;203.81;8.57;262.63;15.00
2013;11;06;16;00;15.80;72.00;1009.30;0.00;0.00;100.00;0.00;0.00;100.00;137.95;8.13;256.48;14.00
2013;11;06;17;00;14.93;74.00;1009.90;0.00;0.00;100.00;0.00;0.00;100.00;57.85;7.81;251.33;15.80
2013;11;06;18;00;14.18;77.00;1010.60;0.00;0.00;4.00;0.00;0.00;4.00;0.00;7.06;249.25;15.70
2013;11;06;19;00;14.22;78.00;1011.20;0.00;0.00;100.00;0.00;0.00;100.00;0.00;6.78;248.36;15.50
